subjects,surface_F.Coll.left,surface_F.C.L.a.left,surface_F.C.L.p.left,surface_F.C.L.r.ant.left,surface_F.C.L.r.asc.left,surface_F.C.L.r.diag.left,surface_F.C.L.r.retroC.tr.left,surface_F.I.P.left,surface_F.C.L.r.sc.ant.left,surface_F.C.L.r.sc.post.left,surface_F.C.M.ant.left,surface_F.C.M.post.left,surface_F.Cal.ant.-Sc.Cal.left,surface_F.I.P.Po.C.inf.left,surface_F.I.P.r.int.1left,surface_F.I.P.r.int.2left,surface_F.P.O.left,surface_INSULAleft,surface_OCCIPITALleft,surface_S.C.left,surface_S.C.LPC.left,surface_S.C.sylvian.left,surface_S.Call.left,surface_S.Cu.left,surface_S.F.inf.left,surface_S.F.inf.ant.left,surface_S.F.int.left,surface_S.F.inter.left,surface_S.F.marginal.left,surface_S.F.median.left,surface_S.F.orbitaire.left,surface_S.F.polaire.tr.left,surface_S.F.sup.left,surface_S.GSM.left,surface_S.Li.ant.left,surface_S.Li.post.left,surface_S.O.T.lat.ant.left,surface_S.O.T.lat.int.left,surface_S.O.T.lat.med.left,surface_S.O.T.lat.post.left,surface_S.O.p.left,surface_S.Olf.left,surface_S.Or.left,surface_S.Pa.int.left,surface_S.Pa.sup.left,surface_S.Pa.t.left,surface_S.Pe.C.inf.left,surface_S.Pe.C.inter.left,surface_S.Pe.C.marginal.left,surface_S.Pe.C.median.left,surface_S.Pe.C.sup.left,surface_S.Po.C.sup.left,surface_S.R.inf.left,surface_S.Rh.left,surface_S.T.i.ant.left,surface_S.T.i.post.left,surface_S.T.pol.left,surface_S.T.s.left,surface_S.T.s.ter.asc.ant.left,surface_S.T.s.ter.asc.post.left,surface_S.p.C.left,surface_S.s.P.left,surface_ventricleleft
50417,2034.23,1238.53,4531.66,482.281,637.663,,570.385,4292.63,,207.826,723.325,1379.44,1869.41,2814.26,78.3173,,2476.61,3285.53,3368.89,2862.44,244.052,97.2408,643.129,281.103,1761.58,294.331,2210.25,2682.53,492.543,201.896,453.188,334.78,2720.01,142.637,278.808,397.838,268.272,36.663,299.041,805.815,316.592,,512.849,1334.11,557.925,,884.685,1315.28,392.028,785.531,845.236,,329.572,1071.6,1477.15,1445.04,515.464,3272.31,877.972,1324.99,403.44,506.659,2407.27
50418,1321.56,2187,4996.22,,876.067,,716.954,4340.46,,,753.201,1254.42,2248.24,1451.79,229.687,697.424,2580,3366.06,1913.4,3107.87,241.987,238.529,979.054,553.666,892.192,1096.59,2564.69,2543.23,577.153,764.095,,922.156,2751.81,25.2262,74.8324,795.01,816.03,138.893,1101.43,522.664,205.912,469.539,961.131,413.215,1398.98,83.1763,1086.83,1888.86,,746.541,1218.5,706.232,38.8391,61.2689,1192.68,1634.13,1327.45,3152.29,1595.97,859.693,347.513,1126.66,2006.21
50419,1426.39,932.151,4829.19,580.747,745.737,,261.276,5758.93,,,990.939,1602.91,2059.54,1210.59,257.331,,1433.65,3587.72,1581.78,2812.06,,,540.359,301.119,1610.46,128.182,1818.25,1873.86,299.117,443.193,63.4965,86.1105,3019.98,,70.7171,440.407,454.476,47.9339,699.834,334.45,,354.149,507.349,460.268,701.976,1090.46,1237.72,421.526,675.173,245.4,888.679,1300.58,131.64,,1570.63,2705.11,639.193,1863.56,27.4811,617.854,261.174,779.946,2050.66
50421,1811.11,2447.66,3902.07,,69.7244,683.166,397.342,6015.47,,,1399.59,1801.37,1287,1399.65,359.338,617.741,2096.61,2871.35,1918.26,3124.26,44.5367,,1104.34,547.645,1275.45,385.13,2073.47,2264.85,350.664,358.946,374.362,530.82,2447.44,55.365,50.5616,796.9,939.144,98.4773,371.892,846.636,279.279,386.183,1168.03,980.421,717.536,,705.496,1827.41,,716.531,786.2,1242.5,282.262,532.406,1344.84,2293.14,1008.31,4633.73,212.95,1172.3,164.447,431.515,1960.28
50422,964.382,1282.88,4011.68,938.131,728.414,,470.779,4091.57,,214.387,1461.48,1427.2,1854.23,1810.41,368.69,109.546,1866.39,3621.43,2606.29,3315.85,228.938,35.3114,588.419,489.672,849.695,475.953,2142.16,2721.45,785.91,332.158,184.097,701.361,2644.6,,,196.503,218.674,,,216.624,272.309,393.141,418.432,544.753,766.523,,720.427,1963.1,,918.875,663.025,1013.97,38.9042,265.872,787.398,1435.79,918.467,2733.51,1421.8,1369.27,,508.21,1856.01
50424,1657.77,1907.26,3457.46,634.25,925.577,,378.019,4843.48,,54.0695,1105.77,1982.06,2280.87,1527.84,661.938,131.004,2329.61,3037.8,2732.64,3178.52,,122.462,,374.223,1114.38,469.157,2283.54,1583.58,471.391,656.938,331.345,342.2,2744.12,,214.365,65.3012,917.85,235.398,779.617,709.544,536.227,154.086,1274.28,1500.26,,,756.664,2487.53,209.475,667.159,790.835,1624.95,329.517,212.324,683.673,1999.93,1447.81,2281.58,146.136,1780.53,613.946,894.547,3459.06
50425,1614.75,2355.24,4879.43,230.81,846.635,283.495,442.052,5420.93,,,1338.08,1404.54,2104.04,1712.3,194.098,866.514,1730.88,4074.34,2338.59,2970.01,180.921,,890.84,308.645,1140.92,468.025,2554.28,3132.22,352.06,402.57,156.319,236.799,3273.42,,335.964,432.832,988.201,,580.121,783.25,,245.279,667.715,1239.85,94.9796,69.004,1785.11,1160.66,378.649,478.875,346.921,1791.09,36.5568,202.061,1704.56,1513.11,601.634,4669.68,733.721,923.359,40.8486,768.644,2214.65
50426,1955.48,1922.62,4643.73,560.545,,,458.864,4095.4,,,727.21,1970.73,1846.88,759.928,175.135,,1722.19,3619.69,3486.09,3233.27,80.8368,,568.683,337.066,1291.34,414.768,1864.66,3190.67,705.205,501.317,354.923,724.118,2494.8,346.31,47.9588,123.232,950.575,230.417,,1407.32,288.591,698.958,1074.42,542.898,1002.59,27.5908,920.695,2192.23,855.937,713.233,225.334,2273.92,105.753,473.127,999.518,1641.28,610.203,3028.87,621.28,2228.4,127.71,971.799,2125.56
50427,2027.8,1455.42,4047.03,595.527,,110.343,248.553,5092.31,,,855.565,1335.15,1372.86,2398.05,132.018,66.7281,1473.2,3889.26,1971.43,3049.05,,,480.585,422.591,1841.72,136.081,2374.8,1760.8,567.248,123.819,292.805,220.649,3115.78,32.0068,319.544,341.565,371.603,,362.163,294.866,,401.139,375.315,365.186,415.499,,465.971,1025.97,,197.935,946.327,,53.6751,313.485,1449.86,1759.75,429.767,3145.25,1581.62,2228.95,,1412.64,1971.25
50428,1541.6,708.139,6685.63,38.0936,388.621,,,4127.85,,77.9123,946.51,1713.65,1443.51,1714.28,688.392,32.309,1529.02,2178.29,2422.16,2534.43,,,442.464,409.692,734.901,473.61,967.85,1708.38,613.72,633.196,381.949,105.897,2568.63,,315.651,306.592,881.147,166.06,786.059,634.068,246.299,286.382,923.168,721.256,,41.4737,1225.66,1222.36,1159.56,,416.971,1269.79,,58.4359,1203.56,1098.67,690.25,2063.7,596.952,1279.08,409.709,549.036,1501.63
50432,1904.54,278.522,6015.99,741.951,254.503,367.433,409.234,6528.16,,169.822,251.143,2086.44,1421.35,843.448,506.883,408.908,2402.32,7018.29,4236.39,3857.53,839.987,34.2982,641.824,921.744,2145.75,706.391,3917.92,3388.93,1213.73,306.931,275.836,1098.08,3263.38,222.952,491.004,339.796,755.319,763.541,63.9297,2221.17,526.322,742.422,1430.22,817.119,495.425,99.0511,677.141,1297.74,405.766,672.533,430.932,836.515,332.004,875.234,2333.87,2031.09,1612.65,3654.63,957.409,1417.01,,1076.92,2439.15
50433,1333.32,581.842,4055.37,646.407,471.127,61.5256,54.669,3945.83,,119.095,349.54,1797.71,2184.15,2363.53,927.163,883.776,1713.72,4640,3275.37,3492.19,165.033,,595.538,789.972,1862.61,464.742,2054.96,2617.35,467.93,466.829,90.042,714.95,2343.84,,188.7,889.18,901.254,212.68,601.506,628.248,369.305,832.069,1222.28,599.348,576.663,,776.132,703.019,325.875,514.671,863.24,1361.63,155.091,903.927,921.343,2731.03,1439.58,3037.93,1446.2,177.086,,876.237,2740.6
50434,1417.46,1573.28,3558.92,494.655,836.843,,33.8914,5078.72,,229.723,877.168,1473.01,2046.2,1847.57,,,2157.82,3760.8,2585.23,2402.28,50.5391,406.423,647.78,535.669,737.32,338.337,2045.04,2242.01,272.572,438.957,187.807,368.031,2655.05,,259.851,441.775,1198.54,158.115,115.136,822.235,,346.261,788.105,568.515,558.151,,729.408,1346.66,623.546,379.392,348.987,618.062,,47.4827,1611.15,1941.3,882.473,3326.13,1550.43,602.78,340.811,538.796,2055.18
50435,1572.56,1633.99,4845.72,490.901,510.924,,557.072,5074.55,64.1016,209.38,1163.82,1955.7,2156.43,1728.16,439.661,274.598,1920.29,2402.99,2860.2,3394.26,140.869,152.967,607.842,681.748,1447.11,546.212,2131.24,2667.97,853.682,1761.39,409.391,933.197,1813.18,67.2499,495.316,565.415,1733.26,513.111,,1801.4,155.445,621.402,1263.33,809.21,526.723,171.554,1642.18,1113.68,1249.53,489.159,273.172,1532.04,303.807,538.788,1936.14,2066.6,1146.29,3354.92,1292.18,608.892,65.9425,1001.25,2312.8
50436,1494.89,1998.29,5095.3,402.559,873.315,,,5186.79,,422.259,1205.01,1534.37,2062.14,2285.43,586.385,39.8079,2043.66,2881.99,3501.31,2978.51,,191.499,1225.92,289.996,760.181,235.82,1339.34,892.779,568.864,754.883,289.156,557.563,3745.44,,505.623,420.092,483.538,183.064,1028.04,750.282,115.46,729.774,1826.84,1045.41,321.335,,858.005,2033.61,,476.398,97.149,604.188,683.234,260.384,1924.63,2221.05,1338.93,3300.15,933.901,1172.87,248.328,578.171,3020.67
50437,1667.25,2073.33,4099.7,577.943,706.222,,153.532,5426.83,,,1256.86,1817.66,1610.89,711.344,734.003,,1409.74,3864.8,3171.51,3537.04,261.381,,627.567,589.91,631.28,679.623,2281.94,3547.8,576.425,658.658,174.462,258.757,2648.39,673.922,1027.85,34.1779,1658.32,75.8887,,2004.76,391.862,685.359,1202.33,1120.42,36.6701,951.936,887.026,776.462,,631.819,1385.51,1605.34,208.179,465.947,1934.37,1408.71,911.911,2667,40.2555,2273.02,235.707,836.996,2786.27
50438,2109.61,2288.08,6731.1,534.588,1036.86,,693.732,4514.32,,,835.485,1181.79,2390.76,1698.45,,397.459,2061.46,2193.74,3349.38,2971.09,286.175,290.874,597.456,378.772,1324.66,423.09,2242.35,2281.71,464.249,924.325,303.084,318.608,2700.55,,742.691,331.932,281.117,,936.687,1194.72,,657.672,1248.96,703.265,458.635,163.456,1041.06,827.208,377.675,931.834,904.384,1326.44,57.8275,562.678,2231.69,2253.04,1302.45,2648.63,1344.22,502.372,112.832,970.036,2649.53
50439,2369.91,2291.26,5546.77,1131.65,852.072,,343.598,5464.31,,,1471.74,1921.01,1906.29,850.138,,197.639,2471.07,4326.97,2572.16,3193.12,319.772,,484.927,506.323,1474.1,607.552,2244.14,2506.13,593.241,840.529,48.4299,386.447,3293.81,855.073,,680.238,1224.81,168.279,949.26,1097.79,,545.729,1892.39,1253.72,408.374,,949.037,820.35,446.005,522.372,779.783,1721.02,23.332,744.478,1455.55,798.38,1456.48,3567.54,1461.63,1023.81,317.258,733.951,3294.05
50440,1428.18,1648.87,5345.14,819.666,613.677,416.394,,5682.61,,,,2206.02,2898.98,1854.74,831.611,,2265.45,3648.04,3180.67,3172.68,,408.45,161.221,,2032.02,44.3998,1794.25,1136.12,443.262,606.489,316.098,422.793,2991.68,249.02,389.889,313.723,1151.19,195.579,65.2043,1311.45,,853.864,1322.49,913.629,372.041,,592.326,1201.56,474.492,328.226,430.26,1294.91,31.2599,198.393,2432.39,1647.15,619.257,2483.06,1705.2,500.464,307.827,643.764,3026.56
50441,1319.39,357.701,5219.8,165.061,851.319,,867.408,4693.91,,,1041.29,1295.64,2017.86,1443.8,190.62,147.903,2235.27,5288.66,3548.95,3487.02,41.7775,,736.696,46.8699,1293.24,620.052,1786.59,1828.85,968.557,469.853,373.903,347.085,4195.26,,127.686,667.061,1563.85,534.849,190.155,1324.12,,509.956,1593.39,376.037,,,993.941,1404.05,559.058,71.6739,,1558.43,148.073,160.696,2083.2,1255.38,631.809,2597.71,1507.48,1209.97,644.189,1479.95,2668.18
50442,2216.82,2678.69,4815.83,318.153,704.639,58.3317,348.038,4823.33,,191.487,1472.38,1638.07,1967.1,2002.78,351.438,,2135.61,3457.52,3217.87,2683.08,,,942.977,206.27,1035.97,518.873,1148.71,2241.6,545.837,555.046,105.485,303.191,2294.68,,368.805,786.288,367.842,61.0504,452.862,1366.86,194.154,657.161,1059.84,631.096,257.659,,833.599,1505.67,190.372,416.558,,754.266,254.61,451.565,1535.04,1223.72,402.277,2943.88,373.671,1876.63,312.5,565.543,2800.78
50443,2554.1,1910.84,4368.22,780.853,637.674,,693.716,5742.77,,89.2382,1417.54,1523.95,1836.23,2776.64,,722.229,1736.28,3528.81,4092.22,3646.47,204.845,146.168,1282.05,596.916,1546.85,90.6488,2421.45,4020.05,825.654,480.983,567.546,585.057,3600.53,645.858,361.691,380.085,1085.53,56.1084,687.919,1636.04,139.621,594.306,1886.61,1180.41,,,772.297,1361.23,191.792,38.5358,826.653,1237.21,,489.983,1784.95,1744.97,1098.69,4609.26,849.083,942.827,139.461,908.991,2333.21
50444,1950.29,1474.13,3785.57,,399.019,,107.285,4911.71,,,1021.18,1483.12,1631.12,1559.65,258.132,64.0198,1381.7,4370.72,2340.19,3363.86,55.6007,,800.692,312.817,443.309,426.392,1656.97,1739.1,428.949,356.372,247.239,156.678,2404.17,,99.1051,584.592,971.015,89.2586,65.6888,797.736,,523.148,912.949,458.995,266.004,91.0938,984.86,1324.26,417.386,357.16,732.318,789.525,,595.139,1810.92,1061.39,779.638,2823.95,969.246,1156.18,144.002,813.495,2237.41
50445,1628.32,1898.94,3500.94,764.361,510.945,,676.905,4342,,,643.169,1467.64,2065.89,522.676,196.666,563.883,2341.29,4143.04,3118.61,2679.95,,173.981,742.58,147.216,901.254,594.083,2271.75,2308.31,605.225,1249.09,217,714.336,1900.96,705.78,320.352,1066.45,581.598,204.203,665.143,586.414,,760.241,1091.26,833.501,418.834,157.606,683.522,1676.03,994.415,692.661,41.7125,2554.4,280.282,492.055,1646.27,2246.96,681.136,4439.1,159.42,887.47,139.754,813.111,3140.54
50446,1804.93,2296.53,5413.46,752.09,470.155,659.374,632.621,4886.47,,55.235,1100.95,2007.58,1392.29,1532.61,138.068,142.392,2615.75,4260.65,3859.11,2880.62,,114.637,528.12,704.196,1203.45,789.464,2032.76,2477.33,917.862,581.221,415.555,500.986,2727.48,198.549,698.219,1318.97,1092.39,326.984,1080.18,1144.89,,582.917,1277.05,738.772,413.01,124.657,424.412,2055.86,,821.384,626.287,1690.07,907.807,428.756,2015.81,1114.86,780.933,4423.37,68.6266,1175.69,452.841,844.753,2987.87
50447,2533.96,2247.8,5171.43,,,586.153,627.098,4565.52,49.5447,153.101,1109.25,2163.65,3267.93,2709.96,386.798,154.071,2569.44,4715.25,3712.5,3575.93,298.811,401.808,168.28,75.1714,1195.45,945.513,2001.86,2165.35,825.222,2234.41,427.812,701.711,3034.19,,451.709,618.966,707.911,165.293,756.632,1546.16,,435.665,2567.2,762.974,289.059,65.3643,172.171,2156.74,238.543,672.275,284.185,1596.88,786.769,652.267,1667.88,2028.98,1305.28,4233.73,2640.72,1033.56,68.3577,650.23,3535.56
50448,1931.91,1740.66,5778.83,701.309,635.607,482.015,468.548,5198.94,,,1487.42,2356.93,2886.36,1551.09,987.914,1058.04,3001.94,4190.22,3490.28,3506.8,93.8001,269.189,365.452,,1945.35,410.889,1970.18,2101.37,834.51,563.574,251.09,809.166,4304.47,166.138,156.932,389.325,1278.4,367.375,1265.25,1746.72,187.273,616.881,1564.9,357.458,537.651,42.2183,96.5126,1225.94,612.124,900.396,222.545,1178.34,520.005,371.115,1970.09,942.617,1438.35,3735.95,494.958,710.995,86.7883,1014.26,3396.78
50449,1566.64,1975.82,4618.25,1077.69,582.64,100.891,738.985,4469.68,,,858.048,1761.42,3250.14,1260.74,68.251,709.408,2356.29,4093.14,2853.19,3656.91,166.814,230.309,854.185,286.858,2578.53,429.47,2306.45,2509.26,909.781,927.649,234.083,511.331,3694.35,,160.367,439.664,1774.53,607.644,,598.821,35.4648,784.924,1706.03,1248.56,,81.548,681.326,889.802,302.675,373.442,338.326,1716.32,471.953,687.334,2128.7,1899.16,1226.98,3011.23,2003.22,568.987,,1336.1,2705
50450,2049.72,1462.96,3733.57,461.189,330.592,397.255,270.863,4934.6,,472.998,1226.94,1412.03,1699.89,1715.01,33.503,,2562.82,3829.74,2134.27,3512.19,411.957,76.285,1082.74,460.703,976.202,863.29,2557.44,2756.59,966.548,954.569,,585.745,3436.38,,237.467,597.428,867.344,365.966,725.727,1087.62,135.373,554.641,1584.47,429.104,1100.29,,808.938,1121.55,,572.306,687.582,1598.35,720.873,414.528,1900.68,2159.98,685.078,3623.23,3056.45,1393.28,375.311,956.311,2372.55
50451,2689.91,115.376,5507.01,279.909,780.98,,272.709,6135.45,,,1468.92,1327.09,1995.44,1250.79,,,1662.44,4334.9,2198.53,3293.74,,202.24,906.838,366.237,2491.75,539.669,1373.66,2326.53,806.174,853.771,171.041,517.681,2121.9,,,147.646,560.616,249.821,963.49,682.106,,807.566,1118.09,436.805,733.316,553.725,826.615,1077.61,260.99,351.894,984.478,720.537,278.781,443.361,1779.44,1343.88,1047.07,2883.75,809.264,653.466,296.147,574.406,3792.79
50452,2762.32,1504.34,3763.51,700.281,444.314,160.723,442.585,4671.21,,195.095,1269.51,1368.09,2158.88,2035.73,691.996,643.961,1863.33,3900.06,4760.77,3140.19,117.689,278.384,766.077,706.872,803.085,181.608,2157.05,2915.3,629.625,425.291,274.481,363.266,2059.12,,332.512,617.039,405.48,242.042,192.54,670.689,168.172,493.124,1261.2,624.473,,,1164.8,1356.41,1275.3,311.819,372.826,1000.92,84.8016,,1745.68,1816.28,665.61,4306.95,1040.28,380.562,282.043,992.9,2540.94
50453,1529.02,1997.16,3616.5,736.082,455.57,,238.519,5843.48,,271.324,1283.29,1560.37,2193.78,1333.61,345.917,127.618,2325.52,4055.28,2805.29,3530.45,,,936.974,649.278,2015.49,314.889,2171.54,2118.15,445.682,688.677,190.017,898.186,3128.39,,343.613,721.105,984.558,68.3836,805.133,1927.82,518.418,682.862,1416.29,974.924,865.638,381.275,556.175,1316.35,428.023,65.2173,,1404.29,245.288,196.358,1541.46,872.013,949.934,5787.93,118.506,953.862,713.388,742.882,2460.16
50454,1642.41,2436.34,5095.94,408.687,746.807,407.756,566.411,6291.11,,107.041,1044.76,1973.81,2472.61,1077.44,36.1769,96.4259,1670.7,3164.4,3115.1,2632.99,26.5213,278.488,1161.88,186.95,1238.84,540.421,1507.88,2679.36,849.978,954.428,452.134,293.304,3405.01,453.612,179.934,186.832,945.761,440.75,1269.02,594.296,99.16,433.228,1792.07,378.314,859.789,57.1048,493.939,1925.39,,1268.47,654.165,1570.7,542.955,1007.23,1455.84,2126.68,951.865,4354.44,675.546,1220.76,,898.93,2965.03
50455,1637.66,497.169,4253.07,167.91,1327.24,,582.203,5838.24,,391.135,747.33,1601,3371.95,664.41,568.971,,2371.01,6028.74,2927.18,3420.03,61.3869,,122.059,97.3668,1564.78,607.997,2739.41,2229.5,407.216,867.068,403.839,503.746,2615.37,,83.6554,379.064,1274.68,209.104,110.238,726.842,545.48,722.765,1478.55,514.88,494.561,398.717,1596.11,903.046,1641.64,283.693,,716.037,27.2419,433.174,1372.02,2649.57,727.393,4727.1,911.059,804.839,,1065.43,3397.8
50456,2009.47,1897.89,5311.72,660.608,1147.18,,254.146,6130.53,,252.093,1179.25,1151.86,1801.64,1228.15,,622.823,1169.96,3389.5,3763.24,3230.53,,427.48,900.727,747.642,1395.58,701.867,1733.18,2322.49,481.4,395.865,192.095,607.686,2624.73,58.3921,871.942,118.785,1206.47,768.566,410.375,1386.27,66.7125,579.983,1169.08,397.869,92.3953,72.9602,728.957,1866.39,688.477,824.196,734.998,1098.41,136.136,315.677,1174.78,1414.97,930.688,4355.69,249.616,1640.44,98.9698,1156.75,2477.49
50457,1479.69,2056.21,4675.57,560.614,845.289,,582.422,6161.65,172.236,190.984,1092.61,1886.79,2720.29,1389.35,903.181,365.372,2386.82,3653.41,3176.07,3214.51,85.5622,67.86,821.72,337.812,2744.73,277,1460.57,1903.48,551.151,663.764,103.983,484.581,3250.77,,97.492,637.848,564.027,796.98,486.072,761.794,,540.387,1732.96,930.577,431.838,,912.412,882.905,1007.91,536.255,,1028.51,47.3531,905.392,1479.48,2018.48,430.9,5249.64,322.825,48.7788,280.148,465.25,2797.81
50458,2258.79,2046.23,3989.99,689.522,485.194,,,5946.43,,228.692,1460.42,1443.94,1924.18,1711.58,137.244,358.263,2035.86,3356.13,2255.86,3344.97,256.069,149.848,189.857,431.077,1539.46,327.352,1885.55,2685.44,477.674,668.996,137.675,516.442,2847.11,,344.82,88.3174,1237.81,165.376,55.2049,1267.8,386.092,483.064,1219.26,628.195,390.831,241.547,739.663,1621.36,870.591,454.744,767.647,1085.98,23.2666,436.47,2185.87,1079.39,1106.68,3656.75,958.357,779.618,282.232,861.43,2559.13
50459,1454.78,1239.49,3216.36,316.432,547.055,,337.953,5959.41,,110.658,1045.79,1649.4,2577.98,1707.62,636.692,372.429,1513.99,3327.57,3033.02,3971.48,48.8128,33.0632,857.537,244.578,450.713,605.475,1409.61,2143.11,687.223,329.658,245.717,474.248,2738.91,29.3152,322.074,,1246.27,58.6547,776.595,455.415,,202.494,1198.7,784.352,,507.734,1003.34,1139.87,421.857,,482.504,961.831,307.728,,2329.91,1986.47,610.94,4487.92,625.073,905.991,66.7518,684.409,2525.92
50461,893.515,1898.43,3525.6,521.477,586.805,634.156,805.295,6575.9,,196.047,1351.31,1162.68,1832.99,415.693,53.1557,252.253,1943.43,4275.8,2525.13,3230.89,341.497,128.817,931.777,147.508,1613.43,566.731,1403.2,2318.39,1007.21,1713.42,,1021.57,2163.14,,90.2767,284.348,1179.21,,132.393,1871.16,,525.101,1175.1,1130.51,637.977,,782.808,1462.83,951.48,426.212,,1082.24,691.937,510.495,1712.66,1407.45,871.825,2749.53,1538.01,2490.38,272.357,682.277,2361.3
50462,1084.22,1831.4,4269.78,806.965,659.649,,37.1699,3981.17,,,1489.19,1491.93,1869.26,1962.92,251.984,,1668.95,4487.51,2724.9,3977.55,71.7136,,564.358,761.837,531.278,472.67,2037.65,1708.21,1146.63,291.203,301.448,826.182,3131.95,210.726,233.48,356.372,1126.6,,,1054.89,402.89,577.876,1289.02,1090.04,544.15,,929.615,2219.48,793.934,308.687,,741.236,94.1354,215.592,1883.2,1049.65,656.269,3026.45,594.363,2241.1,420.98,792.179,3101.6
50463,1920.24,1988.8,4817.65,,588.488,49.7498,260.942,4810.55,,48.5694,1172.28,1442.03,1506.47,2324.55,377.84,68.9689,1641.42,2763.18,3124.51,3419.17,,,887.088,801.715,1033.16,937.448,1627.05,1699.41,364.089,687.255,269.71,172.065,3354.31,,413.933,320.018,815.378,119.422,647.05,1354.2,49.6171,479.156,1649.77,982.191,,,714.279,1861.75,,174.597,865.321,882.068,73.9484,392.322,1363.06,1841.45,1511.26,3495.17,249.341,1820.85,553.71,793.659,2688.3
50464,1932.21,1857.13,4335.86,699.639,564.441,,186.467,5510.56,,151.059,461.346,1578.66,2214.87,2712.53,747.63,472.545,2310.35,3621.92,2294.61,2888.38,205.827,421.881,1345.87,295.798,2235.34,258.095,2659.67,2077.47,764.693,928.035,607.977,817.922,2798.4,40.0214,402.875,440.552,538.235,1288.61,940.157,1323.2,,740.417,1621.12,705.442,406.094,645.105,715.492,32.0642,876.99,618.225,669.487,1687.22,72.7233,451.623,1720.05,1374.76,465.67,5283.18,,1749.17,148.3,751.338,2206.52
50465,1520.08,1584.07,4551.07,739.83,366.278,,348.628,5205.36,,205.492,764.363,1128.65,2000.78,1582.45,107.921,,1892.69,3808.74,2624.63,2983.21,133.991,163.287,735.428,69.5692,1098.52,230.762,1908.11,2515.25,498.619,696.379,322.84,459.217,2215.36,,188.662,132.213,1394.73,27.0013,567.043,1132.64,111.992,571.333,1490.03,358.372,458.24,,1251.05,760.706,314.088,1114.87,747.118,1040.29,27.5048,302.969,1143.21,1572.22,455.842,3097.23,2723.67,126.417,36.9478,714.971,2122.4
50466,1851.51,1070.85,4608.22,697.163,395.937,316.007,,5291.63,,152.542,589.892,1727.01,1991.59,1245.8,238.135,266.957,1573.67,3701.51,2356.23,2773.14,,104.663,545.857,477.831,1238.91,320.316,1488.07,2086.31,384.445,463.538,290.524,425.621,2630.53,43.8857,750.909,377.597,515.965,67.2235,542.456,850.299,,527.288,831.805,1657.97,245.956,,633.963,775.869,467.708,584.658,584.558,878.369,213.339,461.149,1440.52,1234.36,776.986,2746.8,973.595,1007.03,206.27,633.525,2557.89
50467,1639.19,1518.29,3685.41,749.487,185.156,387.891,180.018,5086.79,,78.9184,326.158,1512.19,1648.51,1740.13,193.995,,1644.57,3798.66,2543.24,3062.75,231.25,92.0937,104.262,342.19,1238.08,366.739,2089.56,2244.45,573.584,755.067,,136.126,1384.75,,588.379,698.271,845.961,260.44,367.047,1100.54,259.295,572.757,954.286,590.977,73.3429,824.915,673.81,1006.31,980.458,299.768,72.1907,973.086,,500.2,1348.52,1188.25,1471.26,3037.82,602.988,1760.05,279.983,649.06,2118.25
50468,3358.59,2155.57,6844.14,310.409,742.952,,373.143,5641.75,,143.913,805.279,1377.49,2764.13,1768.95,500.299,208.662,1959.9,4163.65,3431.15,3166.21,45.4762,64.6111,536.282,432.255,786.49,272.469,2867.06,2508.19,353.402,702.964,540.523,268.992,3176.53,,786.689,706.689,878.24,583.487,1485.23,677.736,,640.928,1387.89,582.461,416.739,,1129.31,1721.56,200.585,562.152,702.175,814.578,28.0528,,979.331,1378.25,1364.63,2773.05,657.144,1849.12,128.897,913.292,2259.9
50469,2242.35,1505.12,3552.67,521.822,463.765,,490.224,5867.46,,,1257.72,1842.85,2198.23,553.401,467.449,549.31,1678.71,4019.09,2192.26,3040.46,52.3762,212.595,746.153,497.117,1383.14,590.631,1996.57,1753.09,551.611,189.092,,1250.48,2550.08,,47.0977,343.877,1008.98,479.521,559.211,664.071,36.2698,763.794,1458.91,517.221,416.734,824.251,953.116,1642.86,1136.81,543.092,906.569,816.936,103.48,600.462,1025.43,1816.96,725.487,3525.58,923.124,1764.84,18.7747,831.991,2611.44
50470,2393.84,1711.18,5605.22,295.281,743.563,,262.659,6177.88,,36.3744,671.554,1631.13,1777.38,901.723,691.307,169.642,2288.42,3965.92,4070.9,3432.55,,,1042.76,592.904,917.441,672.872,1636.19,2967.27,804.272,687.815,312.866,632.394,2869,121.192,359.806,401.189,935.418,684.533,457.763,1092.05,60.3036,620.655,1278.73,1045.62,1067.08,,932.151,1261.83,269.342,423.594,500.906,1016.77,159.136,,1681.97,1105.87,653.395,3480.15,422.511,1845.9,273.72,531.438,2253.86
50471,1176.92,1849.99,4820.82,308.405,732.397,,644.226,4447.71,,,773.957,1850.62,1712.48,1417.71,,435.712,1942.1,3876.33,3714.67,3174.83,,350.402,69.496,803.443,1300.75,988.216,2209.52,2276.88,382.699,825.625,109.204,531.862,2884.58,,312.39,580.192,1042.83,311.019,507.628,871.457,,601.266,1254.55,697.002,,596.22,598.749,1518.46,,1422.09,445.365,1930.21,261.213,531.094,1182.41,1398.31,875.902,3019.81,33.3924,1755.45,501.937,482.271,3084.12
